fomula,perf
target ~ I(weatherVar87^4),0.0141486480553803
target ~ I(crimeVar7^2) + I(weatherVar236^3) + I(weatherVar77^4),-0.00758007573161352
target ~ weatherVar59 + weatherVar140 + I(weatherVar196^4),0.037386528258508
target ~ I(weatherVar108^2) + I(weatherVar72^4) + I(weatherVar193^3) + I(weatherVar93^2),0.0507487376419208
target ~ I(weatherVar53^5) + I(weatherVar90^3),0.0203022024694628
target ~ I(weatherVar73^5) + weatherVar105 + I(weatherVar121^4) + I(weatherVar53^2),0.0522235351208133
target ~ I(weatherVar196^5),0.0271173841632915
target ~ weatherVar32 + I(weatherVar80^5),0.0198151449428851
target ~ I(weatherVar193^2),0.0311979936186655
target ~ weatherVar175,0.00279279306861661
target ~ I(geodemVar1^4),0.0306516265601884
target ~ I(weatherVar110^3),0.0254797874121285
target ~ I(weatherVar177^5),-0.00841464879538442
target ~ I(weatherVar98^3) + weatherVar193,0.0322839146564886
target ~ weatherVar224 + I(weatherVar105^5),0.0211848173475482
target ~ I(weatherVar13^2) + weatherVar189 + I(weatherVar36^5) + I(weatherVar17^2) + I(weatherVar179^5),0.031490800600925
target ~ I(weatherVar70^2),-0.00444337395924848
target ~ I(weatherVar196^3) + I(weatherVar61^4),0.0366028376656643
target ~ weatherVar197,0.0412576419680099
target ~ I(geodemVar37^5),0.0199569459000231
target ~ I(weatherVar40^5) + I(weatherVar189^2),0.034159646906189
target ~ I(weatherVar34^3),-0.0151196713901119
target ~ I(weatherVar143^5) + I(weatherVar87^5),0.0127804850834165
target ~ weatherVar77 + I(weatherVar95^3) + I(weatherVar117^3) + I(weatherVar114^3),0.038829326819561
target ~ I(weatherVar40^4) + I(weatherVar178^2) + I(weatherVar114^4) + I(weatherVar1^2),0.0371003179836223
target ~ I(weatherVar133^4),0.0158506430790235
target ~ I(weatherVar40^3) + I(weatherVar140^2),0.0225740570846733
target ~ I(crimeVar5^3),0.00479237461112827
target ~ I(weatherVar155^5) + var13:geodemVar8,0.0977453470347149
target ~ var16:geodemVar20 + weatherVar117,-0.0396547553596092
target ~ I(weatherVar216^4) + I(weatherVar31^2),0.0461540319747908
target ~ I(weatherVar189^3),0.0422572609452192
target ~ I(weatherVar101^2) + var11:weatherVar118 + I(weatherVar81^2),0.00977239512353188
target ~ I(weatherVar40^2) + weatherVar132,0.0303442021325185
target ~ I(var7^5) + I(geodemVar18^2) + I(weatherVar14^2),-0.0112512696603817
target ~ weatherVar14,0.0130357207127866
target ~ weatherVar216,-0.0195230000714506
target ~ var16:geodemVar13,-0.0523248882069203
target ~ I(weatherVar140^3),0.00961011758396206
target ~ I(weatherVar14^3) + var11:weatherVar235 + I(weatherVar143^4),0.0112256818406079
target ~ I(weatherVar221^5) + I(weatherVar140^4),0.0146976695611189
target ~ I(weatherVar140^5) + weatherVar40,0.0253442576164211
target ~ I(weatherVar96^2) + I(weatherVar110^4),0.0211323916205709
target ~ I(weatherVar76^2) + I(weatherVar14^4),0.0119288200435427
target ~ I(weatherVar177^4) + weatherVar128 + var13:geodemVar17 + I(weatherVar98^4),0.089945692720639
target ~ weatherVar76 + I(weatherVar11^2),0.0330745643203459
target ~ I(geodemVar3^5) + weatherVar208 + I(weatherVar196^2) + I(weatherVar211^3),0.0555300829688849
target ~ weatherVar23,0.0191534515031607
target ~ I(weatherVar144^4) + weatherVar28,0.0226856959053564
target ~ I(weatherVar197^4),0.0453951538303656
target ~ I(weatherVar14^5) + I(weatherVar61^5) + weatherVar119,0.0341915236246783
target ~ I(weatherVar76^3),0.011143253252686
target ~ I(weatherVar79^3) + I(weatherVar99^2),0.0335635876566812
target ~ I(weatherVar151^2) + I(weatherVar116^5) + I(geodemVar1^5) + I(weatherVar117^4),0.0347656017538093
target ~ crimeVar8 + var13:geodemVar13,-0.00873187401666898
target ~ I(geodemVar3^4) + I(var7^4),0.0107249265000995
target ~ weatherVar41 + weatherVar160,0.0175337083329917
target ~ I(weatherVar70^3),-0.00694832942631394
target ~ weatherVar157,0.0149444012346266
target ~ I(weatherVar78^2),0.013883333452768
target ~ I(weatherVar91^2) + I(weatherVar155^4) + I(weatherVar85^5),0.0349898430004066
target ~ I(weatherVar157^2),0.0135470506491455
target ~ I(weatherVar167^3) + weatherVar159 + weatherVar37,0.0329548227197951
target ~ I(weatherVar126^3) + weatherVar25,0.00714717384169638
target ~ I(weatherVar36^4),-0.00472454487084233
target ~ I(weatherVar95^4),0.00785149782879345
target ~ crimeVar7,-0.0118371823228422
target ~ I(weatherVar157^3) + geodemVar12,0.0186831610458239
target ~ weatherVar162 + I(weatherVar221^4),-0.0261353173501291
target ~ I(weatherVar214^2) + I(weatherVar95^5),0.0105286169228458
target ~ I(weatherVar22^5),0.0101804319293472
target ~ weatherVar17 + I(var17^3) + I(weatherVar114^5),0.0834076824672114
target ~ I(var11^2) + weatherVar19,0.0739184732618614
target ~ I(weatherVar157^4) + I(weatherVar198^5),0.0194852497229652
target ~ I(weatherVar73^4),-0.0102996680740789
target ~ I(weatherVar179^4) + I(weatherVar126^4),0.0290403069958308
target ~ I(weatherVar76^4) + var13:geodemVar11,0.0240681524618916
target ~ I(weatherVar121^3),0.0193250894603016
target ~ I(weatherVar6^3),0.0139675798392225
target ~ I(weatherVar5^5) + I(weatherVar49^5),0.00826437187024397
target ~ I(geodemVar18^3) + I(geodemVar3^3) + I(weatherVar72^5),0.0164850370407522
target ~ I(weatherVar12^5),0.0203835217571597
target ~ I(weatherVar70^4) + var13:geodemVar20,0.0341531283077588
target ~ I(weatherVar117^5),-0.000753765564091686
target ~ I(weatherVar18^5) + I(weatherVar81^3) + weatherVar131,0.0474809377157617
target ~ I(weatherVar157^5),0.0118464118570065
target ~ I(weatherVar5^4),-0.000480711878555052
target ~ var16:weatherVar118 + I(weatherVar49^4),-0.0508098329440469
target ~ weatherVar199 + I(weatherVar110^5),0.0301607720610521
target ~ I(weatherVar116^4) + I(weatherVar98^5),0.0163779596306968
target ~ geodemVar24:geodemVar37 + I(weatherVar200^5),0.0212098993790992
target ~ crimeVar6 + I(weatherVar22^4),-0.00478632688456243
target ~ I(weatherVar52^5),0.000818630883517496
target ~ I(weatherVar71^3) + var15:var16,-0.0181386611367528
target ~ I(weatherVar200^4) + I(weatherVar124^3),0.00581303290651805
target ~ I(weatherVar52^4) + I(weatherVar143^3) + weatherVar196,-0.0156191238798903
target ~ I(weatherVar70^5),-0.003372464179441
target ~ I(weatherVar3^3) + weatherVar45 + I(weatherVar21^5) + weatherVar185 + I(weatherVar199^2),0.0579672412288959
target ~ I(weatherVar85^4) + I(weatherVar198^4),0.0416920873355733
target ~ I(weatherVar3^4),0.00142704808834313
target ~ I(weatherVar37^2),0.0182419940187741
target ~ I(weatherVar3^2),0.00473670314075466
target ~ I(weatherVar18^4) + weatherVar141,0.0129731161261245
target ~ I(weatherVar25^2),0.0206009283973082
target ~ I(weatherVar159^2),0.0186697120125077
target ~ I(weatherVar114^2),0.0395564093963605
target ~ I(weatherVar217^2) + I(weatherVar81^4) + weatherVar111,0.0296849974810484
target ~ I(weatherVar155^3) + I(geodemVar30^3),0.0434854112428679
target ~ I(weatherVar94^5),0.0140903942853724
target ~ I(weatherVar200^3),0.0172763180928826
target ~ I(weatherVar52^3),-0.00392955413484348
target ~ geodemVar5 + I(weatherVar37^3) + I(weatherVar3^5) + var13:geodemVar26,0.0507577005135137
target ~ weatherVar3 + weatherVar13,0.00690378180020104
target ~ I(weatherVar129^5),0.0238381954031783
target ~ I(weatherVar25^3) + weatherVar214,-0.00431353650955444
target ~ I(crimeVar5^4) + I(weatherVar24^2),0.0140291127268958
target ~ I(weatherVar81^5) + I(geodemVar22^3),0.0394975873226469
target ~ I(geodemVar22^4) + I(weatherVar86^3),0.0438662344091323
target ~ var11:geodemVar13 + I(weatherVar146^3) + I(weatherVar146^2),0.0215225472519943
target ~ I(weatherVar166^3) + I(weatherVar49^3),0.00462750891579169
target ~ I(var7^3) + I(weatherVar171^3) + I(weatherVar200^2),-0.032791434622256
target ~ I(weatherVar146^4) + weatherVar127 + I(weatherVar12^4),0.0211019927926213
target ~ weatherVar218,-0.0171245796427441
target ~ I(weatherVar221^3) + weatherVar146 + I(weatherVar52^2) + I(geodemVar22^5),-0.0152574045007917
target ~ I(weatherVar76^5),0.00824926075942749
target ~ I(weatherVar166^2),-0.00623353330440321
target ~ I(geodemVar3^2) + I(geodemVar22^2),0.0369487828800347
target ~ I(weatherVar171^2),-0.00477166246472167
target ~ weatherVar33,-0.00572577725185537
target ~ I(weatherVar36^3),-0.00238835598282597
target ~ I(weatherVar166^4) + I(weatherVar146^5),-0.00253159774994601
target ~ weatherVar209,-0.00429953067093582
target ~ I(weatherVar171^4) + weatherVar200 + I(weatherVar198^3),0.033290747573875
target ~ geodemVar31,0.0437573928148329
target ~ I(weatherVar124^2) + I(geodemVar12^2) + I(weatherVar88^2),0.0223116002783113
